compound,heusler_type,mp_id,formula,formation_energy,absolute_energy,band_gap,fermi_energy,bulk_modulus,poisson_ratio,Nv
Rh2VSb,full,mp-1100417,VSbRh,-0.28345853305555596,-21.594165229722222,0.0,7.60483028,,,28
Rh2CrGa,full,mp-1093844,CrGaRh2,2.378986508125,-4.4734533,0.0,-3.25646104,,,27
Rh2CrGa,full,mp-1183690,CrGaRh2,-0.38577897937499905,-7.238218787499999,0.0,6.28618145,,,27
Rh2CrGe,full,mp-961725,CrGeRh,-0.014577054999998987,-17.708426588333335,0.0,5.48504582,118.263,0.464,28
Rh2CrSn,full,mp-1018066,CrSnRh2,-0.2899011212499989,-7.3877098875,0.0,8.33723849,167.812,0.318,28
Rh2CrSn,full,mp-1093756,CrSnRh2,2.4553668037500005,-4.6424419625,0.48340000000000005,-3.57145827,,,28
Rh2CrSn,full,mp-1183708,CrSnRh2,-0.2723157137500003,-7.370124480000001,0.0,8.31048481,,,28
Rh2CrAs,full,mp-15683,CrAsRh,-0.32229516638889144,-18.294662502222224,0.0,6.8098099,,,29
Rh2MnAl,full,mp-1221702,MnAlRh2,-0.6533019769827586,-7.5623536925,0.0,7.03395356,,,28
Rh2MnAl,full,mp-10894,MnAlRh2,-0.6837400494827595,-7.592791765000001,0.0,6.91259405,185.161,0.282,28
Rh2MnGa,full,mp-1221872,Mn2GaRh,-0.15746423834051715,-7.3365728575,0.0,6.06573756,,,28
Rh2MnGa,full,mp-1221629,MnGaRh2,-0.4805085588577578,-7.2101903225,0.0,6.01837204,,,28
Rh2MnGa,full,mp-864949,MnGaRh2,-0.529181723857759,-7.258863487500001,0.0,5.86915377,188.351,0.302,28
Rh2MnIn,full,mp-1221572,MnInRh2,-0.5272590211206882,-21.9108546,0.0,7.35579142,,,28
Rh2MnIn,full,mp-864968,MnInRh2,-0.5538888461206888,-21.937484425,0.0,7.16070386,155.882,0.313,28
Rh2MnSi,full,mp-1014005,Mn2SiRh,-0.21753229692888,-15.7866979409375,0.0,7.24680279,134.27,0.361,29
Rh2MnSi,full,mp-22565,MnSiRh,-0.6455667795498053,-16.510009413055553,0.0,7.15874726,154.446,0.302,29
Rh2MnSi,full,mp-865015,MnSiRh2,-0.7764169798706888,-18.7088061125,0.0,8.12665064,208.501,0.45,29
Rh2MnGe,full,mp-18649,MnGeRh,-0.3704068826436797,-7.420190555000001,0.0,6.46976869,,,29
Rh2MnGe,full,mp-1079184,MnGeRh,-0.36635726931034657,-7.416140941666669,0.0,6.25117893,,,29
Rh2MnGe,full,mp-4664,MnGeRh2,-0.4380496432327581,-7.566464365,0.0,7.46566361,189.249,0.459,29
Rh2MnSn,full,mp-1221622,MnCoSnRh,-0.2502795532327582,-7.1676074875,0.0,7.8756234,,,29
Rh2MnSn,full,mp-1221328,MnNiSnRh,-0.2624275182327578,-6.8414354425,0.0,8.10547302,,,29
Rh2MnSn,full,mp-4990,MnSnRh2,-0.43506260573275757,-7.4101133274999995,0.0,8.10177043,169.635,0.392,29
Rh2MnP,full,mp-1079405,MnPRh,-0.5368423575246292,-7.850774586666666,0.0,8.628745,,,30
Rh2MnAs,full,mp-1221750,Mn3Co2As3Rh,-0.27665307847701115,-7.290825832222222,0.0,7.00927197,,,30
Rh2MnAs,full,mp-567856,MnAsRh,-0.3435513962547895,-7.409033294444445,0.0,6.89895501,147.225,0.338,30
Rh2MnAs,full,mp-1221966,Mn2CoAs2Rh,-0.2933791418103458,-7.320379181666667,0.0,6.97152298,,,30
Rh2MnSb,full,mp-568891,MnSbRh,-0.12036109219348153,-21.628987437365897,0.0,6.74757791,105.879,0.422,30
Rh2MnSb,full,mp-4846,MnSbRh,-0.32712301886014455,-21.835749364032562,0.0,6.63180118,112.852,0.374,30
Rh2MnSb,full,mp-568983,MnSbRh,-0.13456268886014774,-21.643189034032563,0.0,6.90758289,104.921,0.456,30
Rh2FeAl,full,mp-1096451,Al2FeRh,2.2435961300000007,-3.587774055,0.037799999999999834,-2.57748175,,,29
Rh2FeAl,full,mp-1261855,Al2FeRh,2.2467125075000007,-3.5846576775,0.01739999999999986,-2.5916946,,,29
Rh2FeAl,full,mp-1183147,Al2FeRh,-0.6965394949999988,-6.52790968,0.0,8.44486,,,29
Rh2FeGa,full,mp-865170,GaFeRh2,-0.42948686937499936,-6.9861701125,0.0,6.31561503,193.286,0.559,29
Rh2FeIn,full,mp-1184829,InFeRh2,-0.21194192166666603,-6.701394595,0.0,7.55203716,,,29
Rh2FeIn,full,mp-1096551,InFeRh2,2.435794828333334,-4.053657845,0.0,-3.46000587,,,29
Rh2FeSi,full,mp-1222890,LaFeSi2Rh,-0.8092320289999997,-7.133426478,0.0,8.28926991,,,30
Rh2FeSi,full,mp-1227116,CaFeSi2Rh,-0.6734796739999993,-6.411592678,0.0,6.20774692,,,30
Rh2FeSn,full,mp-1097141,FeSnRh2,2.495548781250001,-4.30650342,0.23740000000000006,-3.64659018,,,30
Rh2FeSn,full,mp-1018062,FeSnRh2,-0.3010237187499989,-7.10307592,0.0,8.06208925,177.299,0.329,30
Rh2FeSn,full,mp-1184221,FeSnRh2,-0.25857151124999866,-7.0606237125,0.0,8.17973067,,,30
Rh2FeP,full,mp-1224852,FePRh,-0.46039346043650653,-7.543660995555555,0.0,7.92527684,,,31
Rh2FeAs,full,mp-1225105,FeAsRh,-0.0751312780555548,-6.909948482222222,0.0,6.97853099,,,31
Rh2FeAs,full,mp-1225012,FeAsRh,-0.17150087361111113,-7.006318077777778,0.0,7.10737741,,,31
Rh2FeSb,full,mp-1206853,FeSbRh2,-0.22013650249999994,-7.05204605,0.0,8.47777733,,,31
Rh2CoAl,full,mp-1095887,Al2CoRh,2.155039567500001,-10.5536245375,0.07019999999999982,-2.69208294,,,30
Rh2CoAl,full,mp-1216888,U3Al3CoRh2,-0.5042670188888805,-36.22972182499999,0.0,9.44086721,,,30
Rh2CoGa,full,mp-1096441,Ga2CoRh,1.94248817625,-3.1959909825,0.0,-1.14182843,,,30
Rh2CoGa,full,mp-1097340,GaCoRh2,2.4902084481250006,-3.7323236725,0.0,-3.4975943,,,30
Rh2CoSi,full,mp-1225286,DyCoSi2Rh,-0.9199233243333318,-6.913270559999999,0.0,6.85706876,,,31
Rh2CoSi,full,mp-1226609,CeCoSi2Rh,-0.8620338939999982,-7.119095997999999,0.0,8.36718225,,,31
Rh2CoSn,full,mp-1221622,MnCoSnRh,-0.2502795532327582,-7.1676074875,0.0,7.8756234,,,31
Rh2CoSn,full,mp-1018085,CoSnRh2,-0.20586425374999973,-6.6737653325,0.0,7.92880616,185.482,0.336,31
Rh2CoAs,full,mp-1221750,Mn3Co2As3Rh,-0.27665307847701115,-7.290825832222222,0.0,7.00927197,,,32
Rh2CoAs,full,mp-1221966,Mn2CoAs2Rh,-0.2933791418103458,-7.320379181666667,0.0,6.97152298,,,32
Rh2CoAs,full,mp-22546,CoAsRh,-0.34624479055555923,-17.705575039722223,0.0,7.32345967,195.109,0.353,32
Rh2CoSb,full,mp-1224248,HfZrCoSb2Rh,0.003317784504768421,-26.110731967995232,0.0,5.4934535,,,32
Rh2CoSb,full,mp-1206379,CoSbRh2,-0.18431022687500231,-21.987561256875,0.0,8.39929858,,,32
Rh2NiAl,full,mp-1096379,AlNiRh2,2.531954207500002,-14.214613980000001,0.0,-3.7414859,,,31
Rh2NiGa,full,mp-866037,GaNiRh2,-0.3413840393750007,-6.225596150000001,0.0,6.37659956,173.642,0.335,31
Rh2NiGe,full,mp-1097160,NiGeRh2,2.4724027756249995,-16.059135224375,0.0,-3.86346918,,,32
Rh2NiSn,full,mp-1221328,MnNiSnRh,-0.2624275182327578,-6.8414354425,0.0,8.10547302,,,32
Rh2NiSn,full,mp-11519,NiSnRh2,-0.25160581124999837,-6.38118688,0.0,8.36733945,180.244,0.446,32
Rh2NiP,full,mp-1018823,NiPRh,-0.6905963176587306,-15.730603685,0.0,9.39988985,,,33
Rh2NiP,full,mp-1079265,NiPRh,-0.6289717476587321,-15.668979115,0.0,9.35377987,,,33
Rh2NiAs,full,mp-19768,NiAsRh,-0.4250174258333341,-17.366843018333334,0.0,7.98057303,,,33
